"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ToniParsons14 @JulianBurnside @ScottMorrisonMP Oh dear you seem a bit hot &amp; bothered. Don’t let the exaggerations… https://t.co/9rGEOvS3GG",FALSE,0,"ToniParsons14",2019-12-15 08:02:27,TRUE,"1206011293674528768","1206122332068040704","1126449177263628299","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Johnwr69",0,FALSE,FALSE,NA,NA
"RT @DailyCaller: Greta Thunberg: ‘Put World Leaders Against The Wall’ If They Fail To Take Action On Climate Change. https://t.co/xi0zJncBTy",FALSE,0,NA,2019-12-15 08:02:26,FALSE,NA,"1206122330813947905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BauxV16",32,TRUE,FALSE,NA,NA
"RT @WriteLyn: @theprojecttv After this nasty little trick to con the public’s emotions by pushing climate - hoax &amp; to shamefully use fireme…",FALSE,0,NA,2019-12-15 08:02:26,FALSE,NA,"1206122330017030145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","auselection2016",1,TRUE,FALSE,NA,NA
"RT @PaulEDawson: ""The OIL INDUSTRY is NOT your FRIEND.""

""Whatever it might say about its ethical credentials, while it CONTINUES to invest…",FALSE,0,NA,2019-12-15 08:02:26,FALSE,NA,"1206122326858686465",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LaurieAdkin",57,TRUE,FALSE,NA,NA
"UN climate talks limp toward finish line, key questions left https://t.co/S7Xjz73bO4",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122326376488960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ahramonline",0,FALSE,FALSE,NA,NA
"""I was always a 'middle-grounder', rather than a 'denier' – until I discovered the extent of the dishonesty,"" write… https://t.co/kO6clgZLGJ",FALSE,0,NA,2019-12-15 08:02:25,TRUE,NA,"1206122325030121472",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AceDailyNews",0,FALSE,FALSE,NA,NA
"PITTSBURGH PA Dec 14 Climate: Hi: 39 Lo: 34 Precip: 0.48 Snow: Trace https://t.co/Lkq8fM8V29",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122324002361344",NA,"<a href=""https://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","iembot_pbz",0,FALSE,FALSE,NA,NA
"WHEELING WV Dec 14 Climate: Hi: 39 Lo: 34 Precip: 0.35 Snow: M https://t.co/Eyl2QgYzEp",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122323968843776",NA,"<a href=""https://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","iembot_pbz",0,FALSE,FALSE,NA,NA
"MORGANTOWN WV Dec 14 Climate: Hi: 49 Lo: 35 Precip: 0.63 Snow: M https://t.co/foO5L33Kq5",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122323943706625",NA,"<a href=""https://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","iembot_pbz",0,FALSE,FALSE,NA,NA
"NEW PHILADELPHIA OH Dec 14 Climate: Hi: 39 Lo: 35 Precip: 0.43 Snow: M https://t.co/60pCrQPymW",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122323935318016",NA,"<a href=""https://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","iembot_pbz",0,FALSE,FALSE,NA,NA
"RT @ABC: Former Pres. Barack Obama says the Paris Agreement on climate change may fall short of expectations but is still the way forward t…",FALSE,0,NA,2019-12-15 08:02:25,FALSE,NA,"1206122322618462209",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","marylynne1",44,TRUE,FALSE,NA,NA
"How climate change is creating more child brides in Uganda https://t.co/XDcHyEj95L",FALSE,0,NA,2019-12-15 08:02:24,FALSE,NA,"1206122322199007233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Steph80335",0,FALSE,FALSE,NA,NA
"RT @DanRather: It’s worth noting that most people who echo a world where facts and expertise don’t matter in politics or the climate crisis…",FALSE,0,NA,2019-12-15 08:02:23,FALSE,NA,"1206122314171064320",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","1drahsanm",6253,TRUE,FALSE,NA,NA
